100_vaka_sonrasi_gun,tarih,test,vaka,vefat,yogun_bakim_hasta,entube_hasta,iyilesme,gunluk_vefat,gunluk_vaka,gunluk_test,gunluk_vefat_eksi,gunluk_iyilesme
0,12.03.2020,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,13.03.2020,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA
0,14.03.2020,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA
0,15.03.2020,NA,18,NA,NA,NA,NA,NA,12,NA,NA,NA
0,16.03.2020,NA,47,NA,NA,NA,NA,NA,29,NA,NA,NA
1,17.03.2020,NA,98,1,NA,NA,NA,NA,51,NA,NA,NA
2,18.03.2020,NA,191,2,NA,NA,NA,1,93,NA,-1,NA
3,19.03.2020,NA,359,4,NA,NA,NA,2,168,NA,-2,NA
4,20.03.2020,NA,670,9,NA,NA,NA,5,311,NA,-5,NA
5,21.03.2020,NA,947,21,NA,NA,NA,12,277,NA,-12,NA
6,22.03.2020,NA,1236,30,NA,NA,NA,9,289,NA,-9,NA
7,23.03.2020,NA,1529,37,NA,NA,NA,7,293,NA,-7,NA
8,24.03.2020,NA,1872,44,NA,NA,NA,7,343,NA,-7,NA
9,25.03.2020,5035,2433,59,NA,NA,NA,15,561,5035,-15,NA
10,26.03.2020,7286,3629,75,NA,NA,NA,16,1196,2251,-16,NA
11,27.03.2020,47823,5698,92,344,241,42,17,2069,40537,-17,42
12,28.03.2020,55464,7402,108,445,309,70,16,1704,7641,-16,28
13,29.03.2020,65446,9217,131,568,394,105,23,1815,9982,-23,35
14,30.03.2020,76981,10827,168,725,523,162,37,1610,11535,-37,57
15,31.03.2020,92403,13531,214,847,622,243,46,2704,15422,-46,81
16,01.04.2020,106799,15679,277,979,692,333,63,2148,14396,-63,90
17,02.04.2020,125556,18135,356,1101,783,415,79,2456,18757,-79,82
18,03.04.2020,141716,20921,425,1251,867,484,69,2786,16160,-69,69
19,04.04.2020,161380,23934,501,1311,909,786,76,3013,19664,-76,302
20,05.04.2020,181445,27069,574,1381,935,1042,73,3135,20065,-73,256
21,06.04.2020,202845,30217,649,1415,966,1326,75,3148,21400,-75,284
22,07.04.2020,222868,34109,725,1474,987,1582,76,3892,20023,-76,256
23,08.04.2020,247760,38226,812,1492,995,1846,87,4117,24892,-87,264
24,09.04.2020,276338,42282,908,1552,1017,2142,96,4056,28578,-96,296
25,10.04.2020,307210,47029,1006,1667,1062,2423,98,4747,30872,-98,281
26,11.04.2020,340380,52167,1101,1626,1021,2965,95,5138,33170,-95,542
27,12.04.2020,376100,56956,1198,1665,978,3446,97,4789,35720,-97,481
28,13.04.2020,410556,61049,1296,1786,1063,3957,98,4093,34456,-98,511
29,14.04.2020,443626,65111,1403,1809,1063,4799,107,4062,33070,-107,842
30,15.04.2020,477716,69392,1518,1820,1052,5674,115,4281,34090,-115,875
31,16.04.2020,518143,74193,1643,1854,1040,7089,125,4801,40427,-125,1415
32,17.04.2020,558413,78546,1769,1845,1014,8631,126,4353,40270,-126,1542
33,18.04.2020,598933,82329,1890,1894,1054,10453,121,3783,40520,-121,1822
34,19.04.2020,634277,86306,2017,1922,1031,11976,127,3977,35344,-127,1523
35,20.04.2020,673980,90980,2140,1909,1033,13430,123,4674,39703,-123,1454
36,21.04.2020,713409,95591,2259,1865,1006,14918,119,4611,39429,-119,1488
37,22.04.2020,750944,98674,2376,1814,985,16477,117,3083,37535,-117,1559
38,23.04.2020,791906,101790,2491,1816,982,18491,115,3116,40962,-115,2014
39,24.04.2020,830257,104912,2600,1790,929,21737,109,3122,38351,-109,3246
40,25.04.2020,868565,107773,2706,1782,900,25582,106,2861,38308,-106,3845
41,26.04.2020,889742,110130,2805,1776,883,29140,99,2357,30177,-99,3558
42,27.04.2020,918885,112261,2900,1736,882,33791,95,2131,20143,-95,4651
43,28.04.2020,948115,114653,2992,1621,845,38809,92,2392,29230,-92,5018
44,29.04.2020,991613,117589,3081,1574,831,44022,89,2936,43498,-89,5213
45,30.04.2020,1033617,120204,3174,1514,803,48886,93,2615,42004,-93,4864
46,01.05.2020,1075048,122392,3258,1480,818,53808,84,2188,41431,-84,4922
47,02.05.2020,1111366,124375,3336,1445,778,58259,78,1983,36318,-78,4451
48,03.05.2020,1135367,126045,3397,1424,766,63151,61,1670,24001,-61,4892
49,04.05.2020,1171138,127659,3461,1384,727,68166,64,1614,35771,-64,5015
